clause_text,clause_type,risk_level,predicted_risk,correct
"Columbia Laboratories, (Bermuda) Ltd.",Parties,low,Medium,False
"HOFV and/or PFHOF, on the one hand, and Constellation, on the other hand, are referred to herein as a ""Party"" and, collectively, as the ""Parties"".",Parties,low,Low,True
"The parties' rights and obligations hereunder shall be construed and enforced under the laws of the State of Texas, U.S.A., without regard to conflict of laws principles. Incoterms 2010 (or any subsequent revision thereof) (""Incoterms"") shall also apply; provided, however, that Incoterms shall apply only to the extent specified in the agreement hereof, and provided, further, that in the event of a conflict between Incoterms and the laws of the State of Texas, U.S.A., the latter shall govern.",Governing Law,low,Medium,False
"D-Beta One Growth and Opportunity Fund Offshore, LP",Parties,low,Medium,False
"(each a ""Party"" and together the ""Parties"").",Parties,low,Low,True
Princor Financial Services Corporation,Parties,low,Low,True
"individually and collectively the Joint Venture Participants ""JVP""",Parties,low,Medium,False
"Shipper and Transporter may be referred to herein individually as a ""Party"" or collectively as the ""Parties"".",Parties,low,Low,True
"This Agreement shall be governed by and construed under the laws of the State of California, excluding conflict of laws provisions and excluding the 1980 United Nations Convention on Contracts for the International Sale of Goods.",Governing Law,low,Medium,False
"This Agreement shall be governed and construed in accordance with the laws of the State of Delaware, without reference to the conflicts of laws principles thereunder.",Governing Law,low,Low,True
This Agreement is governed by the laws of England and Wales.,Governing Law,low,Low,True
"HARVEST SMALL CAP PARTNERS, L.P.",Parties,low,Low,True
"Subject to the terms and conditions of this Agreement, during the Term, Ginkgo hereby grants and shall grant to BLI:

9.2.1 a [***] and this Section 9.2 (Grants to BLI)), [***] license in, to and under any Intellectual Property (a) Controlled by Ginkgo, (b) used by Ginkgo in the conduct of a Workflow Development Plan and (c) necessary for BLI to perform its obligations under this Agreement ((a)-(c) collectively, ""Ginkgo Licensed IP""), solely to perform BLI's obligations under such Workflow Development Plan; and",License Grant,low,Medium,False
"(c) the licenses granted to Ginkgo from BLI in Section 9.1.1 (Scope of Grants) and 9.1.2 (License Grant to Exploit [***]) shall survive and become perpetual, irrevocable and, subject to clause (f) of this Section 13.3.2, royalty-free;",Irrevocable Or Perpetual License,low,Medium,False
"For the avoidance of doubt, that certain logo designed by Athlete prior to the date hereof (the ""Logo"") shall remain the sole property of Wade and Naked shall have license during the Term to use the Logo for the advertising, endorsement, promotion, or sale of the Naked Products (including the Wade Products) in the Territory in accordance with the terms and conditions of the Agreement",License Grant,low,Medium,False
"SutroVax and Sutro may be referred to herein by name or individually, as a ""Party"" and collectively, as the ""Parties.""",Parties,low,Low,True
"""Zebra"" and the ""Distributor"" are referred to collectively as 'Parties"" and individually as a ""Party"".",Parties,low,Low,True
"This Agreement shall be governed by, construed and interpreted in accordance with the laws of the State of New York, without regard to principles of conflicts of law.",Governing Law,low,Low,True
"This Agreement shall be deemed to have been entered into in the State of New Jersey, and shall be construed and interpreted in accordance with the laws of that State applicable to agreements made and to be performed in the State of New Jersey.",Governing Law,low,Medium,False
"This Agreement shall be for the term of one year; thereafter, the Agreement shall renew automatically under these same  terms and agreements unless superceded by future agreements.",Expiration Date,low,Medium,False
"This Agreement shall be governed by and construed in accordance with the laws of the Arizona, without regard to the conflict of laws provisions thereof.",Governing Law,low,Low,True
"""Offtake Agreement"" means that certain Crude Oil Sale and Purchase Agreement between the Principal and STASCO dated 1 November 1999.",Expiration Date,low,Low,True
This Amendment shall be governed by and construed under the law governing the Distributor Agreement.,Governing Law,low,Low,True
TURN - KEY MANUFACTURING AGREEMENT,Document Name,low,Medium,False
"This Agreement shall be in full force and effect commencing on January 2, 2020 and shall remain in effect for one (1) year or until Consultant completes the services requested",Expiration Date,low,Medium,False
"ESPACIO INFORMATION TECHNOLOGY, SA.",Parties,low,Low,True
"This Agreement shall be governed by and construed in accordance with the laws of the State of Nevada, USA in force therein without regard to its conflict of law rules.",Governing Law,low,Low,True
Emerald Health Nutraceuticals Inc.,Parties,low,Low,True
"Concert Global Network Services, Ltd.",Parties,low,Low,True
"each a Party and, together, the Parties.",Parties,low,Low,True
"Legacy Education Alliance Holdings, Inc.",Parties,low,Low,True
This Agreement shall be effective as of the date set forth above in this Agreement.,Effective Date,low,Low,True
Associated Natural Gas Company,Parties,low,Low,True
"THIS SPONSORSHIP AGREEMENT (""Agreement"") is entered into and effective as of the date first written above (""Effective Date"") by  and among PEEK Investments LLC, a Delaware limited liability company (""Purchaser""), and each other party hereto identified on the signature  page(s) hereto (each, a ""Sponsor"").",Effective Date,low,Low,True
"With respect to any Indemnified Party who is not a party to this Agreement, the Agents shall obtain and hold the rights and benefits of this Section 11 in trust for and on behalf of such Indemnified Party.",Third Party Beneficiary,low,Medium,False
"doing business as Network Associates, Inc.,",Parties,low,Low,True
"Marathon Partners Equity Management, LLC",Parties,low,Low,True
"ScanSource Latin America, Inc.",Parties,low,Low,True
NVOS and HGF may renew the Agreement within two (2) years of the expiry of the initial term upon mutual understanding.,Renewal Term,low,Medium,False
Tribute Pharmaceuticals Canada Inc,Parties,low,Low,True
"""Rio Royal"", and together with MG Capital and Percy Rockdale, the ""MG Capital Parties""",Parties,low,Medium,False
"the company set forth below (""Company"") (each, individually, a ""party"" and collectively, ""parties""):",Parties,low,Medium,False
The grant of each license hereunder includes the right to grant sublicenses to Related Companies for so long as it remains a Related Companies,Affiliate License-Licensee,low,Medium,False
STARTEC GLOBAL COMMUNICATIONS CORPORATION,Parties,low,Low,True
AMENDMENT NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT,Document Name,low,Medium,False
"THIS AGREEMENT SHALL BE GOVERNED IN ALL RESPECTS, INCLUDING WITHOUT LIMITATION VALIDITY, INTERPRETATION AND EFFECT, BY THE LAWS OF THE STATE OF DELAWARE APPLICABLE TO CONTRACTS EXECUTED AND TO BE PERFORMED WHOLLY WITHIN SUCH STATE WITHOUT GIVING EFFECT TO THE CHOICE OF LAW PRINCIPLES OF SUCH STATE.",Governing Law,low,Medium,False
Layer 2 Communications Group Ltd.,Parties,low,Low,True
"National Football League Alumni, Inc",Parties,low,Medium,False
"During the term hereof and for a period of five (5) years thereafter, each Party agrees not to, either directly or indirectly, for itself or on behalf of any other person, firm, partnership, corporation or other entity hire, solicit, contract for, attempt to solicit, or cause to be solicited, the employment or services of any current or previous employee of the other Party (unless a period of sixty months has elapsed from the last date that such employee was employed by such party) without the prior written consent of such other Party.",Competitive Restriction Exception,low,Medium,False
"The Company shall pay HDI thirty percent (3016) of the Net Sales in excess of Eleven Thousand Dollars ($11,000) per calendar month.",Revenue/Profit Sharing,medium,Medium,True
"Any and all claims and actions arising out of or relating to this Agreement, the relationship of you and us, or your operation of the Franchised Business, brought by any party hereto against the other, shall be commenced within two (2) years from the occurrence of the facts giving rise to such claim or action, or such claim or action shall be barred.",Cap On Liability,medium,Medium,True
The Warranty Period for the Licensed Software shall mean the period          commencing on the Effective Date and ending ninety (90) days          thereafter.,Cap On Liability,medium,Low,False
"PB shall (a) provide SFJ with quarterly unaudited financial statements and annual audited financial statements (the ""PB Financial Statements"") promptly following the availability thereof (and no later than the date filed with the SEC) and provide to SFJ on a quarterly basis concurrently with the applicable PB Financial Statements [***], (b) promptly notify SFJ of achieving the Successful Phase 3 Interim Analysis and the Phase 3 Success Criteria, and (c) on or prior to the end of each [***] during the Term [***].",Audit Rights,medium,Medium,True
"Glamis covenants and agrees with Western Copper that if at any time it intends to dispose of a Designated Mineral Property for cash consideration or by abandonment, it will give  Western Copper notice (the ' Disposition Notice"") of the intended disposition.",Rofr/Rofo/Rofn,medium,Medium,True
"within ninety (90) days of receipt of the Product Offer to accept the New Product, then such New Product shall be, without further action or amendment, included within the definition of Roundup Products and be subject to the terms and conditions of this Agreement.",Rofr/Rofo/Rofn,medium,Medium,True
"Nexstar shall maintain replacement cost casualty and liability insurance and property insurance on all of its assets and properties used and useful in the operation of WMBD-TV, general liability insurance, workers compensation insurance, and broadcast liability insurance, all in such amounts and on such terms and conditions that are ordinary and customary in the broadcast industry and that are reasonably acceptable to WYZZ.",Insurance,medium,Medium,True
"Any CDV, SGV, MGV or LGV, reported monthly by SEV as described in Clause 2.7.3 and operating in excess of 25,000 miles per annum  shall be subject to an Additional Charge, calculated on a pro-rata basis, levied annually on the first day of each DCL Financial  Year",Volume Restriction,medium,Medium,True
"Professional indemnity insurance providing coverage for loss or damage arising out of an act or omission of the franchisee or its employees, minimum of $1,000,000 of coverage for every $5,000,000 of annual written premium by you with a floor of $1,000,000 of coverage and a maximum deductible of $25,000 allowed.",Insurance,medium,Medium,True
"To the extent that title to any of the Incorporated Technology Works may not, by operation of law, vest in On2 or such works may not be considered works made for hire, Wildform hereby irrevocably assigns to On2 all rights, title and interest in and to such works",Ip Ownership Assignment,medium,Medium,True
"SpinCo hereby covenants not to sue RemainCo under any Licensed SpinCo Know-How and under SpinCo's right, title and interest in and to Shared Library Materials and Foundational Software, including, without limitation, all applicable Patents, Copyrights, and Know-How, for infringement or misappropriation based upon any action that occurs in connection with the continued operation of the RemainCo Business and any future extensions of the RemainCo Business in any field other than the SpinCo Core Field after the Distribution Date",Covenant Not To Sue,medium,Medium,True
VerticalNet shall give reasonable advance notice to LeadersOnline of such audit and each audit shall be conducted in a manner that does not cause unreasonable disruption to the conduct of business by LeadersOnline.,Audit Rights,medium,Medium,True
"Dexcel's responsibility for Product supplied by it to Kitov failing to meet the Specifications shall be limited to the replacement of the Product or the refund of the Supply Price paid by Kitov for such order, as agreed by the parties, except as otherwise provided under this Agreement.",Cap On Liability,medium,Medium,True
FMI and Roche shall jointly own all Joint Inventions.,Joint Ip Ownership,medium,Medium,True
"The parties acknowledge that the development and fulfillment of such new Products may require substantial time and effort by the T&B Personality to fulfill such new Products such that the Marketing Royalty payable pursuant to V. B., above, is inadequate to compensate T&B Personality; therefore, in lieu of any other royalty, the parties shall share Cash Sales from the sale of such new Products as follows: [●%] to LEA [●%] to T&B",Revenue/Profit Sharing,medium,Medium,True
"The percentage of the respective Advertising Cost Compensation shall be stipulated by the Software Publisher, but shall not exceed 50% of the effective gross sales price of the software.",Revenue/Profit Sharing,medium,Medium,True
"The fee shall be equal to 5.2% of the ""gross proceeds"" received in the Offering attributable to the efforts of the Agent.",Revenue/Profit Sharing,medium,Medium,True
. Distributor shall not grant this privilege to any third party or to any affiliates without Company's prior written consent.,Non-Transferable License,medium,Medium,True
"Subject to the provisions of subparagraph 2.6(b) below, and if you have substantially complied with all provisions of this Agreement and all other agreements between us, on expiration of the Initial Term, if you refurbish and decorate the Premises, replace fixtures, furnishings, wall decor, furniture, equipment, and signs and otherwise modify the Franchise in compliance with specifications and standards then applicable under new or renewal franchises for The Joint Corp. Location franchises, you will have the right to renew the Franchise for one (1) additional term of ten (10) years (the ""Renewal Term"").",Renewal Term,medium,Medium,True
"Neoforma shall not place any Link on a Neoforma Site to, or a Neoforma Link on the Site of, any other provider or host of a service similar to the Co-Branded Training and Education Center or to any other training or education service websites.",Exclusivity,medium,Medium,True
IN NO EVENT SHALL A PARTY'S LIABILITY IN RELATION TO SERVICES PROVIDED UNDER THIS AGREEMENT EXCEED THE FEES PAID TO IT UNDER THIS AGREEMENT FOR THE SPECIFIC SERVICE THAT RESULTED IN THE LOSS.,Cap On Liability,medium,Medium,True
"Unless otherwise required by a particular Sponsor, PPD shall not refer that opportunity to any other third party provider unless VS declines to bid on such opportunity or does not offer the service in question.",Rofr/Rofo/Rofn,medium,Medium,True
"During such two-year period, and upon reasonable notice to the Billing Party, the Non-Billing Party shall have the right to have an audit conducted through a licensed independent accounting firm, of any billings, collections, and taxes on such itemized statement, and to examine the records and books of account of the Billing Party in connection therewith.",Audit Rights,medium,Medium,True
KI will participate in the production of up to one (1) product information/sales video per License Year during the period of this Agreement on behalf of Diplomat at a mutually acceptable time and place.,Volume Restriction,medium,Low,False
"Within ninety (90) days after the close of each fiscal year and at any time on request,  the  Franchisee  shall submit a full disclosure of all  shareholders in the Franchisee,  and of all persons with an interest in the Franchised  Restaurant.",Audit Rights,medium,Medium,True
"The Servicer shall maintain appropriate books of account and records relating to services performed hereunder, which books of account and records shall be accessible for inspection by the Owner at any time during normal business hours.",Audit Rights,medium,Medium,True
"On the third Business Day immediately preceding the Remarketing Settlement Date (the ""Remarketing Date""), the Remarketing Agent shall use  its commercially reasonable efforts to remarket the Remarketing Securities, at a price at least equal to:

(i) 100% of the aggregate Accreted Value thereof as of the end of the day on the day next preceding the Remarketing Settlement Date; or

(ii) on the Maturity Remarketing Date, 100% of the stated liquidation amount of the Preferred Securities or the principal amount at maturity of  the Debentures, as the case may be.",Minimum Commitment,medium,Medium,True
"Either Party shall have the right to request the other to provide,        through an auditor agreed to by the Parties, validation of the        information and data referred to herein.",Audit Rights,medium,Medium,True
Such audits may be on a rotating site basis where operations and procedures of Supplier services provided to Bank of America are in multiple locations in order to confirm that Supplier is in compliance in all aspects of the Agreement Supplier shall provide Bank of America with a copy of each report prepared in connection with each such audit within thirty (30) calendar days after it receives such report.,Audit Rights,medium,Medium,True
"Transactional Data, when available, shall be jointly owned by                the parties, except in those cases where Application Provider's                contractual agreement(s) with its merchant partner(s) prevent                the sharing of said Transactional Data with third parties.",Joint Ip Ownership,medium,Medium,True
"Except for the transfer and assignment under this Agreement, the Depositor will not transfer or assign any Depositor Transferred Property to another Person or Grant or allow a Lien, other than a Permitted Lien, on an interest in any Depositor Transferred Property.",Non-Transferable License,medium,Medium,True
Access to such TSA Records shall be exercised by a Party and its Affiliates and their authorized representatives in a manner that shall not interfere unreasonably with the normal operations of the Party maintaining the TSA Records.,Audit Rights,medium,Medium,True
"(ii) DISTRIBUTOR, or any principal owner of DISTRIBUTOR, is convicted          of a crime which, in PPG SHANGHAI's reasonable judgment, may adversely          affect the goodwill or interest of DISTRIBUTOR or of PPG SHANGHAI;",Non-Disparagement,medium,Medium,True
Customer may exercise its inspection rights under this Section 5.3(d) upon receipt of any information that would suggest to a reasonable Person that Manufacturer is not fulfilling its obligations under this Section 5.3.,Audit Rights,medium,Medium,True
"If Lucid accepts Distributor's order and fails to deliver ordered products,  Distributors sole remedy will be limited to refund of money paid to Lucid for any undelivered products.",Cap On Liability,medium,Medium,True
You agree not to open the Franchise for business until:,Insurance,medium,Medium,True
"WYZZ shall maintain replacement cost casualty and liability insurance and property insurance on all of its assets and properties used and useful in the operation of WYZZ-TV, general liability insurance and workers compensation insurance in such amounts and on such terms and conditions that are ordinary and customary in the broadcast industry and that are reasonably acceptable to Nexstar.",Insurance,medium,Medium,True
"Each Significant Subsidiary that is required to be organized or licensed as an insurance company in its jurisdiction of incorporation (each, an ""Insurance Subsidiary"" and collectively, the ""Insurance Subsidiaries"") is licensed",Insurance,medium,Medium,True
"Unless otherwise agreed to in advance, no appearance shall exceed a total of two (2) hours in duration.",Volume Restriction,medium,Medium,True
"To determine whether you and the Franchise are complying with this Agreement and the specifications, standards, and operating procedures we prescribe for the operation of the Franchise, we or our agents have the right, at any reasonable time and without advance notice to you, to: (1) inspect the Premises; (2) observe the operations of the Franchise for such consecutive or intermittent periods as we deem necessary; (3) interview personnel of the Franchise; (4) interview customers of the Franchise; and (5) inspect and copy any books, records and documents relating to the operation of the Franchise.",Audit Rights,medium,Medium,True
"If Shipper makes a Pre-Service Increase Request, MPL shall notify Shipper of its new Quarterly Volume Commitment within thirty (30) days following receipt of Shipper's Pre-Service Increase Request, and Exhibit C shall be deemed revised to reflect Shipper's new volume commitment, which shall equal the sum of its original Capacity Request Form volume commitment and its Pre-Service Increase Request or its allocated portion thereof pursuant to this Section 3.9.",Minimum Commitment,medium,Medium,True
"If HOC does not provide HOC JV Acceptance Notice to the Company within fifteen (15) Business Days or such shorter period as may be specified in the Joint Venture Proposal Notice, of receiving of the Joint Venture Proposal Notice, the Company may enter into negotiations with any other person regarding the Proposed Joint Venture",Rofr/Rofo/Rofn,medium,Medium,True
"In addition, IAC shall secure any and all Intellectual Property Rights that may pertain to the Sonos Products that are created by such IAC Subcontractor, and hereby transfers and assigns all such Intellectual Property Rights",Ip Ownership Assignment,medium,Medium,True
"Business Automobile Liability insurance if vehicles will be used in the performance of the Agreement with limits of at least $1,000,000 each accident for bodily injury and property damage, extending to all owned, hired, and non-owned vehicles. AT&T, its Affiliates and their directors, officers and employees shall be included as additional insureds on a primary and non-contributory basis.",Insurance,medium,Medium,True
"If Shipper wishes a shipment partially loaded at more than one place of    loading and/or partially discharged at more than one place of unloading, and    if such places of loading are not included within the corporate limits of a    single municipality, or if such places of unloading are not all included    within the corporate limits of a single municipality, the applicable rate    shall be based on the mileage from point of origin to final destination over





   the route of actual movement as per Shipper's instructions, computed in    accordance with Item 217 (Distances-Method of Computing).",Volume Restriction,medium,Medium,True
"Effective as of the applicable Closing Date, the Seller hereby sells, assigns, transfers, conveys and delivers all of its right, title, and interest in and to the Assigned IP (together with the goodwill of the business symbolized by any Trademarks that constitute Assigned IP) and all Ancillary IP Rights with respect thereto, and shall cause the other Seller Parties to do the same, to the Purchaser Assignees and, effective as of the applicable Closing Date, the Purchaser Assignees hereby purchase, acquire and accept the same from the Seller Parties.",Ip Ownership Assignment,medium,Medium,True
"Airspan warrants that, following repair or replacement, the repaired or replaced Equipment or Software by Airspan shall be free from defects in materials and faulty workmanship and that the Software will conform in all material respects to Airspan's published specifications therefor for ninety (90) days from date of shipment from Airspan to Distributor or until the end of the Initial Warranty Period, whichever is longer.",Warranty Duration,medium,Medium,True
"In the event  Franchisee or the Principals  wish to accept a bona fide offer from a third party to purchase  all or substantially all of the assets constituting the Franchised  Restaurant or of the majority of the voting stock of the Franchisee,  the proposed  transferor(s) shall  give BKC  written  notice  setting  forth  the name  and  address  of the prospective  purchaser,  the  price  and  terms  of the  offer  together  with a franchisee  application  completed by the prospective  purchaser,  a copy of the Purchase and Sale Agreement,  executed by both the seller and purchaser, and all exhibits,  copies of any real estate purchase agreement or agreements,  proposed security agreements and related promissory notes, assignment documents,  and any other  information  that BKC may request in order to evaluate the offer.",Rofr/Rofo/Rofn,medium,Medium,True
where made jointly by MD Anderson and Adaptimmune and/or Adaptimmune Limited and their employees and agents will be jointly owned by MD Anderson and Adaptimmune Limited.,Joint Ip Ownership,medium,Medium,True
The Distributor's single purchase order amount shall be a minimum of five units.,Minimum Commitment,medium,Medium,True
"During the first year of the sponsorship following the                   Commencement Date, Excite will deliver not less than                   [****] Impressions on the Excite Site.",Minimum Commitment,medium,Medium,True
LKPL                            shall pay Axiometric Net Proceeds less the higher of                            a) five-percent (5%) of the Gross Proceeds or b)                            twenty-five-percent (25%) of the Net Proceeds.,Revenue/Profit Sharing,medium,Medium,True
"If we do not exercise this right of first refusal, you may accept the offer, subject to our prior written approval, as provided in Paragraph XVIII hereof, provided that if such offer is not so accepted within six (6) months of the date thereof, we will again have the right of first refusal herein described.",Rofr/Rofo/Rofn,medium,Medium,True
"If the aggregate actual number of Details for the Product made by the Sales Representatives for a Calendar Quarter is less than the Quarterly Minimum Details for such Calendar Quarter, then in calculating the promotion fee due under Section 6.1.1, the Applicable Percentage for such Calendar Quarter shall be reduced to a new percentage equal to [***].",Revenue/Profit Sharing,medium,Medium,True
"At a minimum, such policies must include the following: (a) commercial general liability insurance, completed-operations and independent-contractors coverage in the amount of $1,000,000, per person/per occurrence for bodily injury and property damage combined with a general aggregate of $3,000,000.",Insurance,medium,Medium,True
"Upon Acceptance as provided in Clause 9.2 HealthGate shall deliver             into escrow the source code, source listings and information for the             Proprietary Software included in the System in accordance with the             terms of the Escrow Agreement.",Source Code Escrow,medium,Medium,True
At the end of *** Parties will negotiate in good faith regarding a possible extension of the Initial Term.,Renewal Term,medium,Medium,True
The 15% royalty payable on the first U.S. $3 Billion of total annual worldwide Net Sales under this Section 6.3 shall be reduced to 10% if all of the following occur: (i) all Theravance Compounds are discontinued by the collaboration for Technical Failure; (ii) Theravance fails to contribute any Theravance New Compound to the collaboration within 18 months following the Effective Date; and (iii) the Collaboration Product upon which the royalty is payable contains a LABA that is one of the GSK Initially Pooled Compounds. Nothing in the foregoing shall affect other royalties owed under this Agreement.,Revenue/Profit Sharing,medium,Medium,True
"Joint Improvements  shall be owned jointly by the Parties, and PPI's interest therein shall be licensed to EKR hereunder.",Joint Ip Ownership,medium,Medium,True
"If the Domain Name is deemed a combination mark, neither party shall use the Domain Name for any purpose except as expressly provided herein or attempt to register the Domain Name, and the parties will jointly cooperate on any enforcement action of infringement of the Domain Name.",Joint Ip Ownership,medium,Medium,True
This      Agreement shall automatically renew for consecutive one (1) year terms      at XIMAGE's then prevailing rates at the end of each one (1) year term      unless either party gives at least sixty (60) days prior written notice      of the non-renewal of this Agreement.,Renewal Term,medium,Medium,True
"Professional Liability (Errors & Omissions) insurance with limits of at least $5,000,000 each claim or wrongful act.",Insurance,medium,Medium,True
MSL agrees to provide the audit or inspection team reasonable access     to the relevant MSL's and/or MSL's Subsidiaries' records and facilities for     the purpose of performing the audit.,Audit Rights,medium,Medium,True
"The parties agree that the records maintained and produced under this Agreement shall, at all times, be available at the Operations Center for examination and audit by governmental agencies having jurisdiction over the Customer's business, including any Federal, State or Puerto Rico Regulator.",Audit Rights,medium,Medium,True
"PAPA JOHN'S shall not, during the Term or at any time thereafter, attack or challenge, or lend assistance to any third party in connection with an attack or challenge, of any right, title or interest of ABG in and to any Personality Rights (including, without limitation, copyrights, trademarks and/or patents), whether by way of: (i) an application for and/or an opposition against any intellectual property rights relating to the Personality Rights, (ii) adoption and/or application for and/or registration of any intellectual property rights (including, without limitation, domain names, business names, and social media accounts) that are confusingly similar to, that dilute, or that infringe, any of the Personality Rights, or (iii) any lawsuit, cancellation proceeding or action, or otherwise.",Covenant Not To Sue,medium,Medium,True
Any rights of review and audit pursuant to this Paragraph 9 shall only be exercisable through the F&ASC in accordance with the F&ASC's audit procedures.,Audit Rights,medium,Medium,True
